id,umbrella_id,readable_name,img_link
terrier/norwich,terrier,Terrier (Norwich),https://images.dog.ceo/breeds/terrier-norwich/n02094258_866.jpg
terrier/patterdale,terrier,Terrier (Patterdale),https://images.dog.ceo/breeds/terrier-patterdale/320px-05078045_Patterdale_Terrier.jpg
terrier/russell,terrier,Terrier (Russell),https://images.dog.ceo/breeds/terrier-russell/IMG_7752.jpg
terrier/scottish,terrier,Terrier (Scottish),https://images.dog.ceo/breeds/terrier-scottish/n02097298_2184.jpg
terrier/sealyham,terrier,Terrier (Sealyham),https://images.dog.ceo/breeds/terrier-sealyham/n02095889_783.jpg
terrier/silky,terrier,Terrier (Silky),https://images.dog.ceo/breeds/terrier-silky/n02097658_2035.jpg
terrier/tibetan,terrier,Terrier (Tibetan),https://images.dog.ceo/breeds/terrier-tibetan/n02097474_5700.jpg
terrier/toy,terrier,Terrier (Toy),https://images.dog.ceo/breeds/terrier-toy/n02087046_7492.jpg
terrier/welsh,terrier,Terrier (Welsh),https://images.dog.ceo/breeds/terrier-welsh/lucy.jpg
terrier/westhighland,terrier,Terrier (Westhighland),https://images.dog.ceo/breeds/terrier-westhighland/n02098286_3290.jpg
terrier/wheaten,terrier,Terrier (Wheaten),https://images.dog.ceo/breeds/terrier-wheaten/n02098105_3245.jpg
terrier/yorkshire,terrier,Terrier (Yorkshire),https://images.dog.ceo/breeds/terrier-yorkshire/n02094433_3192.jpg
tervuren,tervuren,Tervuren,https://images.dog.ceo/breeds/tervuren/yoda_in_garden.jpg
vizsla,vizsla,Vizsla,https://images.dog.ceo/breeds/vizsla/n02100583_9922.jpg
waterdog/spanish,waterdog,Waterdog (Spanish),https://images.dog.ceo/breeds/waterdog-spanish/20181023_072736.jpg
weimaraner,weimaraner,Weimaraner,https://images.dog.ceo/breeds/weimaraner/n02092339_7468.jpg
whippet,whippet,Whippet,https://images.dog.ceo/breeds/whippet/n02091134_7748.jpg
wolfhound/irish,wolfhound,Wolfhound (Irish),https://images.dog.ceo/breeds/wolfhound-irish/n02090721_2254.jpg
